DEPTH,GR
69.38,26.1
69.48,26.5
69.59,27.16
69.69,27.56
69.79,27.83
69.88,28.36
69.98,28.05
70.09,26.63
70.19,25.03
70.29,24.02
70.38,23.57
70.48,24.33
70.59,26.01
70.69,26.94
70.79,27.12
70.88,25.03
70.98,22.2
71.09,21.31
71.19,22.51
71.29,25.61
71.38,27.91
71.48,27.74
71.59,26.27
71.69,24.02
71.79,23.62
71.88,25.79
71.98,28.89
72.09,30
72.19,29.11
72.29,29.07
72.38,28.58
72.48,28.4
72.59,28.14
72.69,27.69
72.79,27.96
72.88,27.43
72.98,26.32
73.08,25.58
73.18,25.7
73.29,25.77
73.38,24.77
73.48,23.91
73.59,22.83
73.68,21.55
73.79,21.53
73.88,23.63
73.98,26.47
74.09,28.21
74.18,28.36
74.29,28.18
74.38,28.45
74.48,28.09
74.58,27.47
74.68,26.94
74.79,26.37
74.88,25.94
74.98,25.03
75.09,24.27
75.19,24.17
75.29,25.08
75.38,27.03
75.48,28.31
75.59,28
75.69,26.54
75.79,24.19
75.88,22.02
75.98,22.02
76.09,23.71
76.19,24.68
76.29,25.3
76.38,26.27
76.48,26.63
76.59,26.63
76.69,25.92
76.79,24.77
76.88,24.59
76.98,25.34
77.09,26.36
77.19,27.34
77.29,28.45
77.38,29.6
77.48,30.4
77.59,30.26
77.69,28.76
77.79,26.63
77.88,24.5
77.98,23.31
78.09,22.91
78.19,23.22
78.29,24.28
78.38,24.9
78.48,24.73
78.59,24.3
78.69,24.32
78.79,25.91
78.88,27.4
78.98,28.36
79.09,28.58
79.19,27.21
79.29,25.48
79.38,23.62
79.48,23.31
79.59,23.71
79.69,24.41
79.79,24.28
79.88,23.79
79.98,23.84
80.09,23.53
80.19,23.71
80.29,22.91
80.38,22.55
80.48,23.04
80.59,23.71
80.69,24.46
80.79,24.99
80.88,26.32
80.98,27.43
81.09,26.63
81.19,24.95
81.29,24.02
81.38,23.77
81.48,22.43
81.59,20.67
81.69,20.76
81.79,21.77
81.88,22.79
81.98,22.57
82.09,22.57
82.19,22.45
82.29,22.27
82.38,23.5
82.48,24.74
82.59,26.05
82.69,26.9
82.79,26.81
82.88,26.5
82.98,25.65
83.09,24.95
83.19,24.77
83.29,25.12
83.38,26.1
83.48,27.07
83.59,28
83.69,27.6
83.79,26.63
83.88,26.01
83.98,26.94
84.09,27.29
84.19,26.05
84.29,24.04
84.38,22.2
84.48,22.37
84.59,24.1
84.69,25.39
84.79,24.03
84.88,22.64
84.98,23.27
85.08,24.22
85.19,23.88
85.29,23.04
85.38,24.33
85.48,26.63
85.58,27.74
85.69,27.83
85.79,26.85
85.88,25.83
85.98,25.74
86.09,25.79
86.18,26.14
86.29,26.45
86.38,26.19
86.48,25.52
86.59,25.08
86.69,25.79
86.79,26.67
86.88,27.56
86.98,28.18
87.09,28
87.19,26.81
87.29,25.83
87.38,26.01
87.48,26.27
87.59,27.03
87.69,26.9
87.79,26.19
87.88,25.17
87.98,25.61
88.09,27.91
88.19,28.84
88.29,28.05
88.38,26.47
88.48,25.36
88.59,24.62
88.69,24.22
88.79,24.12
88.88,24.74
88.98,25.79
89.09,26.72
89.19,26.76
89.29,25.74
89.38,24.64
89.48,24.33
89.59,25.12
89.69,26.59
89.79,27.52
89.88,27.52
